Базедов, Иоганн Бернгард	[' (1723—1790), немецкий педагог — ']	['III']	['420,421']
Байрон, Джордж Ноэл Гордон	[' (1788—1824), английский поэт — ']	['II', 'III']	['225,279', '269']
Бакланов	[', литератор — ']	['II']	['605']
Балагин (Гершенович), Александр Самойлович	[' (1894 — после 1940), поэт — ']	['IV']	['28,373']
Бальзак, Оноре де	[' (1799—1850), французский писатель — ']	['I', 'II', 'IV']	['191', '261,273,427,467', '107']
Бальмонт, Константин Дмитриевич	[' (1867—1942), поэт — ']	['I', 'II', 'IV']	['185,225,275', '237,255,290,291,375,445', '46']
Баратынский (Боратынский), Евгений Абрамович	[' (1800—1844), поэт — ']	['I', 'II', 'III']	['184,185', '238,239,293', '65,271']
Барац	[', соученик О. Мандельштама — ']	['II']	['369']
Барбе д’Оревильи, Жюль Амеде	[' (1808—1889), французский писатель — ']	['III']	['148']
Барбье, Огюст	[' (1805—1882), французский поэт — ']	['II']	['143,302—305,307,557,614']
Барбюс, Анри	[' (1873—1935), французский писатель — ']	['II']	['449,521,595']
Баррас, Поль	[' (1755—1829), политич. деятель времен Великой французской революции и Директории — ']	['II']	['607']
Баррес, Морис	[' (1862—1923), французский писатель — ']	['III']	['368']
Бартель, Макс	[' (1893—1975), немецкий писатель — ']	['II']	['162,421,422,543,616']
Барто, Агния Львовна	[' (1906—1981), детская поэтесса — ']	['III']	['436']
Батырай	[' (1831—1910), даргинский поэт — ']	['III']	['260']
Батюшков, Константин Николаевич	[' (1787—1855), русский поэт — ']	['I', 'II', 'III']	['74', '298,299,554', '65,66,259,401']
Батюшков, Федор Дмитриевич	[' (1857—1920), историк литературы, журналист, общ. деятель — ']	['II']	['368']
Бах, Иоганн Себастьян	[' (1685—1750), немецкий композитор — ']	['I', 'II', 'III']	['84,85,178,180', '49,481,538', '189,194,225,236']
Бахтюков	[', поэт-метростроевец — ']	['III']	['267,268']
Беатриче	[' (Портинари; ок. 1265—1290), возлюбленная Данте — ']	['II', 'III']	['80', '230,235,243,254,401,407']
Бедекер, Карл	[' (1801—1859), немецкий книгоиздатель, выпускавший путеводители по разным странам — ']	['II', 'III']	['401', '387']
