[]	[]	[]
['Рахиль']	['III']	[['85', '257', '327', '328', '330', '333']]
['Ромул']	['II']	[['388']]
[]	[]	[]
['Савоаф']	['II', 'III']	[['223'], ['369']]
['Саломея']	['I']	[['125', '126']]
['Самсон']	['II']	[['361']]
['Симеон Столпник']	['I', 'II']	[['191'], ['123']]
['Соломон']	['II']	[['231']]
['Степан (Стефан) Мученик']	['II']	[['123']]
['Сусанна']	['I']	[['146']]
['Тартар']	['II']	[['87']]
['Тезей (Тесей)']	['I', 'II']	[['118', '251'], ['142']]
['Титан']	['I']	[['32']]
[]	[]	[]
['Ундина']	['II']	[['477', '568']]
[]	[]	[]
['Феб']	['I', 'II']	[['156'], ['160']]
['Федра']	['I', 'II']	[['98', '117', '118', '201', '204', '226', '251', '252', '276'], ['142']]
['Фемида']	['II']	[['399']]
['Флегетон']	['II']	[['87']]
['Фома Неверующий']	['I', 'II']	[['215'], ['334']]
[]	[]	[]
['Церера']	['III']	[['69', '319']]
[]	[]	[]
['Эак']	['III']	[['415']]
['Эвридика']	['I']	[['148', '226', '265']]
['Эдем']	['I']	[['160']]
['Эдип']	['III']	[['153']]
['Эол']	['III']	[['104']]
['Эреб']	['I']	[['54', '139']]
['Эрот (Эрос)']	['III']	[['193']]
['Этеокл']	['III']	[['238']]
[]	[]	[]
['Юдифь']	['I', 'II']	[['94', '244'], ['482', '573']]
['Юлиан, святой']	['II']	[['141']]
['Юпитер']	['II', 'III']	[['251'], ['252']]
